Issuer,Sovereignity Type,Sector,TRBC Sector,Region,Income Group,Development Status,Country,ISO3,Generalised Bond Type,Specified Green Bond Type,Year,Issuance Currency,Issued Amount (USD),Coupon Class,Coupon,Average Int. Rate of Govt. Debt (Private),FED Rate,ESG Score, Environmental Score 
AUSTRIA  REPUBLIC OF (GOVERNMENT),Sovereign,Government,Government & Government Finance (NEC),Europe & Central Asia,High income,Developed,Austria,AUT,Green Bond,CBI Aligned Green bond,2024,Euro,2071751105,Discount/Zero Coupon,0.0,,5.1,,
World Bank (IBRD),Non-sovereign,International Institution,,,,,,,Blue Bond,,2018,,95000000,,,,,,
Government of Seychelles,Sovereign,Government,,Sub-Saharan Africa,High income,Developing,Seychelles,SYC,Blue Bond,,2018,,15000000,,6.5,,1.8,71.9, 72.5 
Government of Seychelles,Sovereign,Government,,,High income,Developing,Seychelles,SYC,Blue Bond,,2018,,21000000,,6.5,,1.8,71.9, 72.5 
Nordic Investment Bank,Non-sovereign,International Institution,,,,,,,Blue Bond,,2019,,220000000,,,,,,
World Bank (IBRD),Non-sovereign,International Institution,,,,,,,Blue Bond,,2019,,10000000,,,,,,
World Bank (IBRD),Non-sovereign,International Institution,,,,,,,Blue Bond,,2019,,180000000,,,,,,
World Bank (IBRD),Non-sovereign,International Institution,,,,,,,Blue Bond,,2019,,29000000,,,,,,
Mowi ASA,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2020,,220000000,,,,,,
Nordic Investment Bank,Non-sovereign,International Institution,,,,,,,Blue Bond,,2020,,150000000,,,,,,
Grieg Seafood,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2020,,150000000,,,,,,
Bank of China,Non-sovereign,Private Institution,,East Asia & Pacific,Upper middle income,Developing,China,CHN,Blue Bond,,2020,,943000000,,,,,63.4, 59.7 
China Industrial Bank (CIB) Co  Ltd,Non-sovereign,Private Institution,,East Asia & Pacific,Upper middle income,Developing,China,CHN,Blue Bond,,2020,,450000000,,,,,63.4, 59.7 
World Bank,Non-sovereign,International Institution,,,,,,,Blue Bond,,2021,,10000000,,,,,,
Seaspan Corp,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2021,,750000000,,,,,,
Thai Union Group PCL ,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2021,,152000000,,,,,,
Asian Development Bank,Non-sovereign,International Institution,,,,,,,Blue Bond,,2021,,302000000,,,,,,
IDB Invest,Non-sovereign,International Institution,,,,,,,Blue Bond,,2021,,37000000,,,,,,
Government of Belize,Sovereign,Government,,Latin America & Caribbean,Upper middle income,Developing,Belize,BLZ,Blue Bond,,2021,,364000000,,4.9,3.5351,0.1,51.4, 52.9 
TMBThanachart Bank  Thailand,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2022,,50000000,,,,,,
The Commonwealth of the Bahamas,Sovereign,Government,,Latin America & Caribbean,High income,Developing,Bahamas,BHS,Blue Bond,,2022,,385000000,,7.2,,1.7,,
BDO Unibank Philippines,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2022,,100000000,,,,,,
Government of Barbados,Sovereign,Government,,Latin America & Caribbean,High income,Developing,Barbados,BRB,Blue Bond,,2022,,147000000,,3.8,,1.7,58.1, 58.4 
IDB Invest,Non-sovereign,International Institution,,,,,,,Blue Bond,,2022,,25000000,,,,,,
People’s Government of Hainan Province,Non-sovereign,Government,,,,,,,Blue Bond,,2022,,167000000,,,,,,
Maruha Nichiro Corporation,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2022,,36000000,,,,,,
IDB Invest,Non-sovereign,International Institution,,,,,,,Blue Bond,,2022,,34000000,,,,,,
Banco Internacional Ecuador,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2022,,79000000,,,,,,
BRK Ambiental,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2022,,364000000,,,,,,
CABEI (Central American Bank for Economic Integration),Non-sovereign,International Institution,,,,,,,Blue Bond,,2022,,93000000,,,,,,
CABEI,Non-sovereign,International Institution,,,,,,,Blue Bond,,2023,,53000000,,,,,,
Export-Import Bank of Korea,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2023,,1000000000,,,,,,
Desarrollos Hidráulicos de Cancun,Non-sovereign,Private Institution,,,,,,,Blue Bond,,2023,,74000000,,,,,,
International Investment Bank,Non-sovereign,International Institution,,,,,,,Blue Bond,,2023,,3500000,,,,,,
Government of Ecuador,Sovereign,Government,,Latin America & Caribbean,Upper middle income,Developing,Ecuador,ECU,Blue Bond,,2023,,656000000,,5.6,6.9749,5.0,54.8, 54.9 
