Issuer;ISO3;World Bank Region name;Type;Issue Year;;Issued Amount (USD);Issued Amount (USD Real);Coupon/Discount Rate;Developed / Developing regions;DNS Type
Seychelles;SYC;Sub-Saharan Africa;Blue Bond;2018;;15000000;;6,5;Developing;.
Seychelles;SYC;Sub-Saharan Africa;Blue Bond;2018;;21000000;;6,5;Developing;.
Belize;BLZ;Latin America & Caribbean;Blue Bond;2021;;364000000;;4,89;Developing;.
Bahamas;BHS;Latin America & Caribbean;Blue Bond;2022;;385000000;;7,19;Developing;.
Barbados;BRB;Latin America & Caribbean;Blue Bond;2022;;147000000;;3,8;Developing;.
Ecuador;ECU;Latin America & Caribbean;Blue Bond;2023;;656000000;;5,645;Developing;.
Indonesia;IDN;East Asia & Pacific;Blue Bond;2023;;150000000;;1,27;Developing;.
Gabon;GAB;Sub-Saharan Africa;Blue Bond;2023;;500000000;;6,097;Developing;.
Bolivia;BOL;Latin America & Caribbean;DNS;1987;31,15;700000;2247191,011;.;Developing;Tripartite
Ecuador;ECU;Latin America & Caribbean;DNS;1987;31,15;1000000;3210272,873;.;Developing;Tripartite
Costa Rica;CRI;Latin America & Caribbean;DNS;1988;32,66;5400000;16533986,53;.;Developing;Tripartite
Costa Rica;CRI;Latin America & Caribbean;DNS;1988;32,66;33000000;101041028,8;.;Developing;Tripartite
Philippines;PHL;East Asia & Pacific;DNS;1988;32,66;400000;1224739,743;.;Developing;Tripartite
Costa Rica;CRI;Latin America & Caribbean;DNS;1989;34,6;5600000;16184971,1;.;Developing;Tripartite
Costa Rica;CRI;Latin America & Caribbean;DNS;1989;34,6;24500000;70809248,55;.;Developing;Tripartite
Ecuador;ECU;Latin America & Caribbean;DNS;1989;34,6;3600000;10404624,28;.;Developing;Tripartite
Ecuador;ECU;Latin America & Caribbean;DNS;1989;34,6;5400000;15606936,42;.;Developing;Tripartite
Madagascar;MDG;Sub-Saharan Africa;DNS;1989;34,6;2100000;6069364,162;.;Developing;Tripartite
Zambia;ZMB;Sub-Saharan Africa;DNS;1989;34,6;2300000;6647398,844;.;Developing;Tripartite
Costa Rica;CRI;Latin America & Caribbean;DNS;1990;37,65;10800000;28685258,96;.;Developing;Tripartite
Dominican Republic;DOM;Latin America & Caribbean;DNS;1990;37,65;600000;1593625,498;.;Developing;Tripartite
Madagascar;MDG;Sub-Saharan Africa;DNS;1990;37,65;900000;2390438,247;.;Developing;Tripartite
Philippines;PHL;East Asia & Pacific;DNS;1990;37,65;900000;2390438,247;.;Developing;Tripartite
Poland;POL;Europe & Central Asia;DNS;1990;37,65;100000;265604,2497;.;Developed;Tripartite
Poland;POL;Europe & Central Asia;DNS;1990;37,65;17000000;45152722,44;.;Developed;Bilateral
Bolivia;BOL;Latin America & Caribbean;DNS;1991;34,2;30700000;89766081,87;.;Developing;Bilateral
Brazil;BRA;Latin America & Caribbean;DNS;1991;34,2;2200000;6432748,538;.;Developing;Tripartite
Chile;CHL;Latin America & Caribbean;DNS;1991;34,2;15900000;46491228,07;.;Developing;Bilateral
Costa Rica;CRI;Latin America & Caribbean;DNS;1991;34,2;600000;1754385,965;.;Developing;Tripartite
Guatemala;GTM;Latin America & Caribbean;DNS;1991;34,2;100000;292397,6608;.;Developing;Tripartite
Jamaica;JAM;Latin America & Caribbean;DNS;1991;34,2;400000;1169590,643;.;Developing;Tripartite
