province,Year,FDI
Sumatera Utara,2010,181117.0
Kepulauan Riau,2010,165677.0
Aceh,2010,4566.0
Kepulauan Bangka Belitung,2010,21964.0
Sumatera Selatan,2010,186285.0
Lampung,2010,30707.0
Sumatera Barat,2010,7902.0
Jambi,2010,37207.0
Riau,2010,86633.0
Bengkulu,2010,25078.0
Bali,2010,278296.0
Nusa Tenggara Timur,2010,3832.0
Nusa Tenggara Barat,2010,220534.0
Kalimantan Barat,2010,170449.0
Kalimantan Tengah,2010,546602.0
Kalimantan Timur,2010,1020889.0
Kalimantan Utara,2010,71338.0
Kalimantan Selatan,2010,202170.0
Banten,2010,1544189.0
Jawa Timur,2010,1769234.0
Jawa Barat,2010,1692006.0
Daerah Khusus Ibukota Jakarta,2010,6429269.0
Jawa Tengah,2010,59130.0
Daerah Istimewa Yogyakarta,2010,4946.0
Maluku,2010,2889.0
Maluku Utara,2010,246004.0
Papua Barat,2010,17156.0
Papua,2010,329609.0
Sulawesi Utara,2010,226789.0
Sulawesi Tengah,2010,138451.0
Sulawesi Tenggara,2010,13972.0
Sulawesi Selatan,2010,441751.0
Gorontalo,2010,786.0
Sulawesi Barat,2010,37349.0
Sumatera Utara,2011,753702.0
Kepulauan Riau,2011,219737.0
Aceh,2011,22456.0
Kepulauan Bangka Belitung,2011,146050.0
Sumatera Selatan,2011,557323.0
Lampung,2011,79498.0
Sumatera Barat,2011,22930.0
Jambi,2011,19473.0
Riau,2011,212339.0
Bengkulu,2011,43056.0
Bali,2011,482085.0
Nusa Tenggara Timur,2011,5492.0
Nusa Tenggara Barat,2011,465076.0
Kalimantan Barat,2011,500698.0
Kalimantan Tengah,2011,543657.0
Kalimantan Timur,2011,528125.0
Kalimantan Utara,2011,74312.0
Kalimantan Selatan,2011,272053.0
Banten,2011,2171692.0
Jawa Timur,2011,1312040.0
Jawa Barat,2011,3839360.0
Daerah Khusus Ibukota Jakarta,2011,4824079.0
Jawa Tengah,2011,174965.0
Daerah Istimewa Yogyakarta,2011,2407.0
Maluku,2011,11696.0
Maluku Utara,2011,129844.0
Papua Barat,2011,33087.0
Papua,2011,1312050.0
Sulawesi Utara,2011,220178.0
Sulawesi Tengah,2011,370358.0
Sulawesi Tenggara,2011,16995.0
Sulawesi Selatan,2011,89564.0
Gorontalo,2011,12544.0
Sulawesi Barat,2011,5617.0
Sumatera Utara,2012,645322.0
Kepulauan Riau,2012,537111.0
Aceh,2012,172273.0
Kepulauan Bangka Belitung,2012,59183.0
Sumatera Selatan,2012,786449.0
Lampung,2012,114320.0
Sumatera Barat,2012,75020.0
Jambi,2012,156322.0
Riau,2012,1152855.0
Bengkulu,2012,30431.0
Bali,2012,482038.0
Nusa Tenggara Timur,2012,8724.0
Nusa Tenggara Barat,2012,635790.0
Kalimantan Barat,2012,397535.0
Kalimantan Tengah,2012,524738.0
Kalimantan Timur,2012,1922182.0
Kalimantan Utara,2012,91903.0
Kalimantan Selatan,2012,272291.0
Banten,2012,2716264.0
Jawa Timur,2012,2298776.0
Jawa Barat,2012,4210704.0
Daerah Khusus Ibukota Jakarta,2012,4107721.0
Jawa Tengah,2012,241513.0
Daerah Istimewa Yogyakarta,2012,84939.0
Maluku,2012,8518.0
Maluku Utara,2012,90254.0
Papua Barat,2012,32035.0
Papua,2012,1202433.0
Sulawesi Utara,2012,46652.0
Sulawesi Tengah,2012,806531.0
Sulawesi Tenggara,2012,35723.0
Sulawesi Selatan,2012,582579.0
Gorontalo,2012,35315.0
Sulawesi Barat,2012,229.0
