Issuer,ISO3,World Bank Region name,Type,Issue Year,Issued Amount (USD),Coupon/Discount Rate,Developed / Developing regions
Seychelles,SYC,Sub-Saharan Africa,Blue Bond,2018,15000000,6.5,Developing
Seychelles,SYC,Sub-Saharan Africa,Blue Bond,2018,21000000,6.5,Developing
Belize,BLZ,Latin America & Caribbean,Blue Bond,2021,364000000,4.89,Developing
Bahamas,BHS,Latin America & Caribbean,Blue Bond,2022,385000000,7.19,Developing
Barbados,BRB,Latin America & Caribbean,Blue Bond,2022,147000000,3.8,Developing
Ecuador,ECU,Latin America & Caribbean,Blue Bond,2023,656000000,5.645,Developing
Indonesia,IDN,East Asia & Pacific,Blue Bond,2023,150000000,1.27,Developing
Gabon,GAB,Sub-Saharan Africa,Blue Bond,2023,500000000,6.097,Developing
Ecuador,ECU,Latin America & Caribbean,DNS,1987,1000000,.,Developing
Bolivia,BOL,Latin America & Caribbean,DNS,1987,700000,.,Developing
Costa Rica,CRI,Latin America & Caribbean,DNS,1988,5400000,.,Developing
Costa Rica,CRI,Latin America & Caribbean,DNS,1988,33000000,.,Developing
Philippines,PHL,East Asia & Pacific,DNS,1988,400000,.,Developing
Ecuador,ECU,Latin America & Caribbean,DNS,1989,3600000,.,Developing
Ecuador,ECU,Latin America & Caribbean,DNS,1989,5400000,.,Developing
Costa Rica,CRI,Latin America & Caribbean,DNS,1989,5600000,.,Developing
Costa Rica,CRI,Latin America & Caribbean,DNS,1989,24500000,.,Developing
Madagascar,MDG,Sub-Saharan Africa,DNS,1989,2100000,.,Developing
Zambia,ZMB,Sub-Saharan Africa,DNS,1989,2300000,.,Developing
Costa Rica,CRI,Latin America & Caribbean,DNS,1990,10800000,.,Developing
Philippines,PHL,East Asia & Pacific,DNS,1990,900000,.,Developing
Madagascar,MDG,Sub-Saharan Africa,DNS,1990,900000,.,Developing
Poland,POL,Europe & Central Asia,DNS,1990,100000,.,Developed
Poland,POL,Europe & Central Asia,DNS,1990,17000000,.,Developed
Dominican Republic,DOM,Latin America & Caribbean,DNS,1990,600000,.,Developing
Bolivia,BOL,Latin America & Caribbean,DNS,1991,30700000,.,Developing
Costa Rica,CRI,Latin America & Caribbean,DNS,1991,600000,.,Developing
Madagascar,MDG,Sub-Saharan Africa,DNS,1991,100000,.,Developing
Poland,POL,Europe & Central Asia,DNS,1991,370000000,.,Developed
Nigeria,NGA,Sub-Saharan Africa,DNS,1991,100000,.,Developing
Brazil,BRA,Latin America & Caribbean,DNS,1991,2200000,.,Developing
Chile,CHL,Latin America & Caribbean,DNS,1991,15900000,.,Developing
Guatemala,GTM,Latin America & Caribbean,DNS,1991,100000,.,Developing
Jamaica,JAM,Latin America & Caribbean,DNS,1991,400000,.,Developing
Jamaica,JAM,Latin America & Caribbean,DNS,1991,216700000,.,Developing
Mexico,MEX,Latin America & Caribbean,DNS,1991,300000,.,Developing
Mexico,MEX,Latin America & Caribbean,DNS,1991,300000,.,Developing
Paraguay,PRY,Latin America & Caribbean,DNS,1991,9000000,.,Developing
Egypt,EGY,Middle East & North Africa,DNS,1992,.,.,Developing
Tunisia,TUN,Middle East & North Africa,DNS,1992,1300000,.,Developing
Philippines,PHL,East Asia & Pacific,DNS,1992,9600000,.,Developing
Philippines,PHL,East Asia & Pacific,DNS,1992,.,.,Developing
Chile,CHL,Latin America & Caribbean,DNS,1992,14700000,.,Developing
