Province,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Sumatera Utara,181117,753702,645322,887452,550835,1246096,1014654,1514943,1227609,379547,974763,580422,1316127,1181284
Kepulauan Riau,165677,219737,537111,315730,392115,640421,519078,1031539,831248,1363365,1649365,1043686,934041,764071
Aceh,4566,22456,172273,94167,31133,21189,134505,23246,71210,137485,51134,203284,127634,248634
Kepulauan Bangka Belitung,21964,146050,59183,112393,105044,82663,52737,153106,46278,88729,48431,44725,129697,72452
Sumatera Selatan,186285,557323,786449,485918,1056515,645822,2793514,1182941,1078554,736482,1543875,1259743,1226254,1478551
Lampung,30707,79498,114320,46763,156489,257726,85707,120602,132290,155188,498411,173797,247826,220554
Sumatera Barat,7902,22930,75020,91362,112110,57133,79268,194425,180800,157114,125589,66949,95625,120659
Jambi,37207,19473,156322,34293,51446,107732,61015,76835,101872,54570,26967,50858,39203,45081
Riau,86633,212339,1152855,1304946,1369565,653395,869105,1061147,1032883,1034039,1077984,1921413,2748701,2042272
Bengkulu,25078,43056,30431,22324,19317,20578,55740,138653,136609,144845,192290,23717,52152,76090
Bali,278296,482085,482038,390856,427163,495847,450633,886855,1002459,426024,293252,451967,449536,808486
Nusa Tenggara Timur,3832,5492,8724,9852,15078,69853,58244,138994,100369,126831,81256,79041,73319,124292
Nusa Tenggara Barat,220534,465076,635790,488164,551131,699377,439016,132054,251548,270725,302076,244173,704560,468449
Kalimantan Barat,170449,500698,397535,649955,966108,1335717,630713,568446,491939,532320,759264,463414,745467,490469
Kalimantan Tengah,546602,543657,524738,481565,951045,933570,408165,641028,678525,283546,177639,162488,548318,697637
Kalimantan Timur,1020889,528125,1922182,1320051,2145665,2381442,1139608,1285215,587502,861001,378027,745190,1266222,1332711
Kalimantan Utara,71338,74312,91903,61212,108323,230920,160813,149014,67328,81670,68429,133460,430529,1272127
Kalimantan Selatan,202170,272053,272291,260619,502492,961206,249448,243814,129147,372948,240793,117243,208064,327898
Banten,1544189,2171692,2716264,3720210,2034627,2541969,2912062,3047470,2827275,1868179,2143559,2189967,3410682,4451587
Jawa Timur,1769234,1312040,2298776,3396254,1802506,2593377,1941035,1566657,1333380,866282,1575460,1849173,3134043,4740978
Jawa Barat,1692006,3839360,4210704,7124881,6561946,5738714,5470857,5142949,5573520,5881045,4793707,5217691,6534450,8283746
Daerah Khusus Ibukota Jakarta,6429269,4824079,4107721,2589891,4509363,3619393,3398222,4595001,4857731,4122998,3613263,3330568,3744070,4830022
Jawa Tengah,59130,174965,241513,464300,463361,850398,1030796,2372523,2372703,2723240,1363635,1465939,2362039,1563664
Daerah Istimewa Yogyakarta,4946,2407,84939,29579,64891,89106,19645,36482,81342,14630,9723,21814,113893,46008
Maluku,2889,11696,8518,52762,13104,82391,102637,211953,7962,33044,176699,13319,73444,106309
Maluku Utara,246004,129844,90254,268467,98712,203828,438902,228111,362793,1008523,2409007,2819935,4487465,4998246
Papua Barat,17156,33087,32035,54156,153348,258608,514490,84673,286861,46204,10585,32502,71831,28775
Papua,329609,1312050,1202433,2360000,1260604,897049,1168434,1924108,1132269,940961,567671,1489074,1260531,8299
Papua Barat Daya,,,,,,,,,,,,,,92971
Papua Selatan,,,,,,,,,,,,,,86275
Papua Tengah,,,,,,,,,,,,,,968043
Sulawesi Utara,226789,220178,46652,65706,98451,87955,382805,482925,295848,220474,155690,169080,105131,203660
Sulawesi Tengah,138451,370358,806531,855028,1494163,1085164,1600338,1545556,672421,1805039,1778986,2718102,7485988,7244082
Sulawesi Tenggara,13972,16995,35723,86418,161797,145010,376107,692983,672926,987662,1268574,1616455,877936,448308
Sulawesi Selatan,441751,89564,582579,462776,280928,233347,372467,712788,617188,302614,236055,309955,469003,336712
Gorontalo,786,12544,35315,25701,4094,6921,12682,41330,40820,171307,67587,78008,102898,33841
Sulawesi Barat,37349,5617,229,2519,16232,2027,20633,11389,24698,10135,6526,5921,28286,24274
