SEZ,Year,latitude,longitude
Arun Lhoksumawe,2017,5.2203188155272,97.08042444594813
Maloy Batuta Trans Kalimantan,2014,0.8176347164658393,117.93071389344098
Gresik,2021,-7.085576614283112,112.60308676677671
Galang Batang,2017,0.9111637836994366,104.65989788830541
Kendal,2019,-6.935980237045337,110.24845248211618
Sorong,2016,-1.0292787381857063,131.2434935974267
Batam Aero Technic,2021,1.139330853006359,104.12459177966903
Sei Mangkei,2012,3.13245042736359,99.34058858209163
Bitung,2014,1.4242592027338954,125.11036262015294
Palu,2014,-0.7115150593922581,119.87015745240637
Morotai,2014,2.1096217107868602,128.29389208739545
Likupang,2019,1.6825276261728754,125.15643444994885
Nongsa,2021,1.1858255710300525,104.10181359073945
Singhasari,2019,-7.881848301323127,112.63793465270233
Sanur,2022,-8.675536888045626,115.26104016863911
Lido,2021,-6.753540959865452,106.81205793793873
Mandalika,2014,-8.88914940271167,116.28380257963396
Tanjung Kelayang,2016,-2.5711428841133817,107.655033303472
Tanjung Lesung,2012,-6.4818153692196825,105.65255891094749
Kura Kura Bali,2023,-8.729995301278395,115.23239773395227
