Province,Year,SEZ
Aceh,2010,0
Aceh,2011,0
Aceh,2012,0
Aceh,2013,0
Aceh,2014,0
Aceh,2015,0
Aceh,2016,0
Aceh,2017,1
Aceh,2018,1
Aceh,2019,1
Aceh,2020,1
Aceh,2021,1
Aceh,2022,1
East Kalimantan,2010,0
East Kalimantan,2011,0
East Kalimantan,2012,0
East Kalimantan,2013,0
East Kalimantan,2014,1
East Kalimantan,2015,1
East Kalimantan,2016,1
East Kalimantan,2017,1
East Kalimantan,2018,1
East Kalimantan,2019,1
East Kalimantan,2020,1
East Kalimantan,2021,1
East Kalimantan,2022,1
East Java,2010,0
East Java,2011,0
East Java,2012,0
East Java,2013,0
East Java,2014,0
East Java,2015,0
East Java,2016,0
East Java,2017,0
East Java,2018,0
East Java,2019,1
East Java,2020,1
East Java,2021,1
East Java,2022,1
Riau Islands,2010,0
Riau Islands,2011,0
Riau Islands,2012,0
Riau Islands,2013,0
Riau Islands,2014,0
Riau Islands,2015,0
Riau Islands,2016,0
Riau Islands,2017,1
Riau Islands,2018,1
Riau Islands,2019,1
Riau Islands,2020,1
Riau Islands,2021,1
Riau Islands,2022,1
Central Java,2010,0
Central Java,2011,0
Central Java,2012,0
Central Java,2013,0
Central Java,2014,0
Central Java,2015,0
Central Java,2016,0
Central Java,2017,0
Central Java,2018,0
Central Java,2019,1
Central Java,2020,1
Central Java,2021,1
Central Java,2022,1
West Papua,2010,0
West Papua,2011,0
West Papua,2012,0
West Papua,2013,0
West Papua,2014,0
West Papua,2015,0
West Papua,2016,1
West Papua,2017,1
West Papua,2018,1
West Papua,2019,1
West Papua,2020,1
West Papua,2021,1
West Papua,2022,1
North Sumatra,2010,0
North Sumatra,2011,0
North Sumatra,2012,1
North Sumatra,2013,1
North Sumatra,2014,1
North Sumatra,2015,1
North Sumatra,2016,1
North Sumatra,2017,1
North Sumatra,2018,1
North Sumatra,2019,1
North Sumatra,2020,1
North Sumatra,2021,1
North Sumatra,2022,1
North Sulawesi,2010,0
North Sulawesi,2011,0
North Sulawesi,2012,0
North Sulawesi,2013,0
North Sulawesi,2014,1
North Sulawesi,2015,1
North Sulawesi,2016,1
North Sulawesi,2017,1
North Sulawesi,2018,1
North Sulawesi,2019,1
North Sulawesi,2020,1
North Sulawesi,2021,1
North Sulawesi,2022,1
Central Sulawesi,2010,0
Central Sulawesi,2011,0
Central Sulawesi,2012,0
Central Sulawesi,2013,0
Central Sulawesi,2014,1
Central Sulawesi,2015,1
Central Sulawesi,2016,1
Central Sulawesi,2017,1
Central Sulawesi,2018,1
Central Sulawesi,2019,1
Central Sulawesi,2020,1
Central Sulawesi,2021,1
Central Sulawesi,2022,1
North Maluku,2010,0
North Maluku,2011,0
North Maluku,2012,0
North Maluku,2013,0
North Maluku,2014,1
North Maluku,2015,1
North Maluku,2016,1
North Maluku,2017,1
North Maluku,2018,1
North Maluku,2019,1
North Maluku,2020,1
North Maluku,2021,1
North Maluku,2022,1
Bali,2010,0
Bali,2011,0
Bali,2012,0
Bali,2013,0
Bali,2014,0
Bali,2015,0
Bali,2016,0
Bali,2017,0
Bali,2018,0
Bali,2019,0
Bali,2020,0
Bali,2021,0
Bali,2022,1
West Java,2010,0
West Java,2011,0
West Java,2012,0
West Java,2013,0
West Java,2014,0
West Java,2015,0
West Java,2016,0
West Java,2017,0
West Java,2018,0
West Java,2019,0
West Java,2020,0
West Java,2021,1
West Java,2022,1
West Nusa Tenggara,2010,0
West Nusa Tenggara,2011,0
West Nusa Tenggara,2012,0
West Nusa Tenggara,2013,0
West Nusa Tenggara,2014,1
West Nusa Tenggara,2015,1
West Nusa Tenggara,2016,1
West Nusa Tenggara,2017,1
West Nusa Tenggara,2018,1
West Nusa Tenggara,2019,1
West Nusa Tenggara,2020,1
West Nusa Tenggara,2021,1
West Nusa Tenggara,2022,1
Bangka Belitung Islands,2010,0
Bangka Belitung Islands,2011,0
Bangka Belitung Islands,2012,0
Bangka Belitung Islands,2013,0
Bangka Belitung Islands,2014,0
Bangka Belitung Islands,2015,0
Bangka Belitung Islands,2016,1
Bangka Belitung Islands,2017,1
Bangka Belitung Islands,2018,1
Bangka Belitung Islands,2019,1
Bangka Belitung Islands,2020,1
Bangka Belitung Islands,2021,1
Bangka Belitung Islands,2022,1
Banten,2010,0
Banten,2011,0
Banten,2012,1
Banten,2013,1
Banten,2014,1
Banten,2015,1
Banten,2016,1
Banten,2017,1
Banten,2018,1
Banten,2019,1
Banten,2020,1
Banten,2021,1
Banten,2022,1
