Province,Year,FDI
North Sumatra,2010,181117
Riau Islands,2010,165677
Aceh,2010,4566
Bangka Belitung Islands,2010,21964
South Sumatra,2010,186285
Lampung,2010,30707
West Sumatra,2010,7902
Jambi,2010,37207
Riau,2010,86633
Bengkulu,2010,25078
Bali,2010,278296
East Nusa Tenggara,2010,3832
West Nusa Tenggara,2010,220534
West Kalimantan,2010,170449
Central Kalimantan,2010,546602
East Kalimantan,2010,1020889
North Kalimantan,2010,71338
South Kalimantan,2010,202170
Banten,2010,1544189
East Java,2010,1769234
West Java,2010,1692006
Special Capital Region of Jakarta,2010,6429269
Central Java,2010,59130
Special Region of Yogyakarta,2010,4946
Maluku,2010,2889
North Maluku,2010,246004
West Papua,2010,17156
Papua,2010,329609
North Sulawesi,2010,226789
Central Sulawesi,2010,138451
Southeast Sulawesi,2010,13972
South Sulawesi,2010,441751
Gorontalo,2010,786
West Sulawesi,2010,37349
North Sumatra,2011,753702
Riau Islands,2011,219737
Aceh,2011,22456
Bangka Belitung Islands,2011,146050
South Sumatra,2011,557323
Lampung,2011,79498
West Sumatra,2011,22930
Jambi,2011,19473
Riau,2011,212339
Bengkulu,2011,43056
Bali,2011,482085
East Nusa Tenggara,2011,5492
West Nusa Tenggara,2011,465076
West Kalimantan,2011,500698
Central Kalimantan,2011,543657
East Kalimantan,2011,528125
North Kalimantan,2011,74312
South Kalimantan,2011,272053
Banten,2011,2171692
East Java,2011,1312040
West Java,2011,3839360
Special Capital Region of Jakarta,2011,4824079
Central Java,2011,174965
Special Region of Yogyakarta,2011,2407
Maluku,2011,11696
North Maluku,2011,129844
West Papua,2011,33087
Papua,2011,1312050
North Sulawesi,2011,220178
Central Sulawesi,2011,370358
Southeast Sulawesi,2011,16995
South Sulawesi,2011,89564
Gorontalo,2011,12544
West Sulawesi,2011,5617
North Sumatra,2012,645322
Riau Islands,2012,537111
Aceh,2012,172273
Bangka Belitung Islands,2012,59183
South Sumatra,2012,786449
Lampung,2012,114320
West Sumatra,2012,75020
Jambi,2012,156322
Riau,2012,1152855
Bengkulu,2012,30431
Bali,2012,482038
East Nusa Tenggara,2012,8724
West Nusa Tenggara,2012,635790
West Kalimantan,2012,397535
Central Kalimantan,2012,524738
East Kalimantan,2012,1922182
North Kalimantan,2012,91903
South Kalimantan,2012,272291
Banten,2012,2716264
East Java,2012,2298776
West Java,2012,4210704
Special Capital Region of Jakarta,2012,4107721
Central Java,2012,241513
Special Region of Yogyakarta,2012,84939
Maluku,2012,8518
North Maluku,2012,90254
West Papua,2012,32035
Papua,2012,1202433
North Sulawesi,2012,46652
Central Sulawesi,2012,806531
Southeast Sulawesi,2012,35723
South Sulawesi,2012,582579
Gorontalo,2012,35315
West Sulawesi,2012,229
North Sumatra,2022,1316127
Riau Islands,2022,934041
Aceh,2022,127634
Bangka Belitung Islands,2022,129697
South Sumatra,2022,1226254
Lampung,2022,247826
West Sumatra,2022,95625
Jambi,2022,39203
Riau,2022,2748701
Bengkulu,2022,52152
Bali,2022,449536
East Nusa Tenggara,2022,73319
West Nusa Tenggara,2022,704560
West Kalimantan,2022,745467
Central Kalimantan,2022,548318
East Kalimantan,2022,1266222
North Kalimantan,2022,430529
South Kalimantan,2022,208064
Banten,2022,3410682
East Java,2022,3134043
West Java,2022,6534450
Special Capital Region of Jakarta,2022,3744070
Central Java,2022,2362039
Special Region of Yogyakarta,2022,113893
Maluku,2022,73444
North Maluku,2022,4487465
West Papua,2022,71831
Papua,2022,1260531
North Sulawesi,2022,105131
Central Sulawesi,2022,7485988
Southeast Sulawesi,2022,877936
South Sulawesi,2022,469003
Gorontalo,2022,102898
West Sulawesi,2022,28286
