ESG Bond Type;Issue Year;Issued Amount (USD);TRBC Sector;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;150928899;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;51635000;Government;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;225378;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;1471522113;Government;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;128975604;Private Entity;
Green Bond;2023;150928899;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;109766472;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;1549050000;Government;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;8506902;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;137208090;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;123487281;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;54883236;Private Entity;
Green Bond;2023;1607214762;Government;
Green Bond;2023;5488324;Private Entity;
Green Bond;2023;727202876;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;96045663;Private Entity;
Green Bond;2023;102906067;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;10327000;Private Entity;
Green Bond;2023;64487802;Private Entity;
Green Bond;2023;274416180;Private Entity;
Green Bond;2023;21300000;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;102687855;Government;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;1884878463;Government;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;52139074;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;164649708;Private Entity;
Green Bond;2023;87813177;Private Entity;
Green Bond;2023;8902579;Private Entity;
Green Bond;2023;1126888;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;225378;Private Entity;
Green Bond;2023;18415666;Private Entity;
Green Bond;2023;210000000;Private Entity;
Green Bond;2023;46650751;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;25671964;Private Entity;
Green Bond;2023;41162427;Private Entity;
Green Bond;2023;5677965;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;41281374;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;75682519;Private Entity;
Green Bond;2023;115082023;Government;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;25671964;Private Entity;
Green Bond;2023;68604045;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;13720809;Private Entity;
Green Bond;2023;258175000;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;38507945;Private Entity;
Green Bond;2023;80678357;Private Entity;
Green Bond;2023;516350000;Private Entity;
Green Bond;2023;27441618;Private Entity;
Green Bond;2023;27441618;Private Entity;
