Province,Year,FDI,FDICAPITA,SEZ,SEZNUM,SEZ_Sector,Population,Minimum_Wage
Aceh,2022,127634,23.60,1,1,Manufacturing,5408,Population
Bali,2022,449536,101.82,1,1,Others,4415.1,Population
Banten,2022,3410682,278.38,1,1,Tourism,12252,Population
Bengkulu,2022,52152,25.32,0,0,No_SEZ,2060.1,Population
Daerah Istimewa Yogyakarta,2022,113893,30.28,0,0,No_SEZ,3761.9,Population
Daerah Khusus Ibukota Jakarta,2022,3744070,350.57,0,0,No_SEZ,10680,Population
Gorontalo,2022,102898,86.27,0,0,No_SEZ,1192.7,Population
Jambi,2022,39203,10.80,0,0,No_SEZ,3631.1,Population
Jawa Barat,2022,6534450,132.26,1,1,Tourism,49405.8,Population
Jawa Tengah,2022,2362039,63.78,1,1,Manufacturing,37032.4,Population
Jawa Timur,2022,3134043,76.16,1,2,Manufacturing,41150,Population
Kalimantan Barat,2022,745467,134.53,0,0,No_SEZ,5541.4,Population
Kalimantan Selatan,2022,208064,49.75,0,0,No_SEZ,4182.1,Population
Kalimantan Tengah,2022,548318,200.04,0,0,No_SEZ,2741.1,Population
Kalimantan Timur,2022,1266222,328.05,1,1,Manufacturing,3859.8,Population
Kalimantan Utara,2022,430529,591.55,0,0,No_SEZ,727.8,Population
Kepulauan Bangka Belitung,2022,129697,86.78,1,1,Tourism,1494.6,Population
Kepulauan Riau,2022,934041,428.50,1,3,Manufacturing,2179.8,Population
Lampung,2022,247826,27.01,0,0,No_SEZ,9176.6,Population
Maluku,2022,73444,39.03,0,0,No_SEZ,1881.7,Population
Maluku Utara,2022,4487465,3401.40,1,1,Manufacturing,1319.3,Population
Nusa Tenggara Barat,2022,704560,128.72,1,1,Tourism,5473.7,Population
Nusa Tenggara Timur,2022,73319,13.41,0,0,No_SEZ,5466.3,Population
Papua,2022,1260531,285.28,0,0,No_SEZ,4418.6,Population
Papua Barat,2022,71831,60.70,1,1,Manufacturing,1183.3,Population
Riau,2022,2748701,415.56,0,0,No_SEZ,6614.4,Population
Sulawesi Barat,2022,28286,19.39,0,0,No_SEZ,1458.6,Population
Sulawesi Selatan,2022,469003,50.84,0,0,No_SEZ,9225.8,Population
Sulawesi Tengah,2022,7485988,2441.53,1,1,Manufacturing,3066.1,Population
Sulawesi Tenggara,2022,877936,324.96,0,0,No_SEZ,2701.7,Population
