Province,Year,FDI,SEZ,2SEZ,Population,FDICAPITA,SEZNUM
Aceh,2016,134505,0,0,5096,26.39,0
Aceh,2017,23246,1,0,5190,4.48,1
Aceh,2018,71210,1,0,5281,13.48,1
Aceh,2019,137485,1,0,5372,25.60,1
Aceh,2020,51134,1,0,5275,9.69,1
Aceh,2021,203284,1,0,5334,38.11,1
Aceh,2022,127634,1,0,5408,23.60,1
Bali,2016,450633,0,0,4200,107.29,0
Bali,2017,886855,0,0,4247,208.84,0
Bali,2018,1002459,0,0,4292,233.55,0
Bali,2019,426024,0,0,4337,98.23,0
Bali,2020,293252,0,0,4317,67.92,0
Bali,2021,451967,0,0,4363,103.60,0
Bali,2022,449536,1,0,4415,101.82,1
Banten,2016,2912062,1,0,12203,238.63,1
Banten,2017,3047470,1,0,12448,244.81,1
Banten,2018,2827275,1,0,12690,222.80,1
Banten,2019,1868179,1,0,12927,144.51,1
Banten,2020,2143559,1,0,11905,180.06,1
Banten,2021,2189967,1,0,12062,181.57,1
Banten,2022,3410682,1,0,12252,278.38,1
Bengkulu,2016,55740,0,0,1905,29.26,0
Bengkulu,2017,138653,0,0,1934,71.68,0
Bengkulu,2018,136609,0,0,1963,69.58,0
Bengkulu,2019,144845,0,0,1992,72.72,0
Bengkulu,2020,192290,0,0,2011,95.63,0
Bengkulu,2021,23717,0,0,2033,11.67,0
Bengkulu,2022,52152,0,0,2060,25.32,0
Daerah Istimewa Yogyakarta,2016,19645,0,0,3721,5.28,0
Daerah Istimewa Yogyakarta,2017,36482,0,0,3762,9.70,0
Daerah Istimewa Yogyakarta,2018,81342,0,0,3803,21.39,0
Daerah Istimewa Yogyakarta,2019,14630,0,0,3843,3.81,0
Daerah Istimewa Yogyakarta,2020,9723,0,0,3669,2.65,0
Daerah Istimewa Yogyakarta,2021,21814,0,0,3713,5.88,0
Daerah Istimewa Yogyakarta,2022,113893,0,0,3762,30.28,0
Daerah Khusus Ibukota Jakarta,2016,3398222,0,0,10278,330.64,0
Daerah Khusus Ibukota Jakarta,2017,4595001,0,0,10374,442.93,0
Daerah Khusus Ibukota Jakarta,2018,4857731,0,0,10468,464.07,0
Daerah Khusus Ibukota Jakarta,2019,4122998,0,0,10558,390.52,0
Daerah Khusus Ibukota Jakarta,2020,3613263,0,0,10562,342.10,0
Daerah Khusus Ibukota Jakarta,2021,3330568,0,0,10610,313.92,0
Daerah Khusus Ibukota Jakarta,2022,3744070,0,0,10680,350.57,0
Gorontalo,2016,12682,0,0,1151,11.02,0
Gorontalo,2017,41330,0,0,1168,35.38,0
Gorontalo,2018,40820,0,0,1186,34.43,0
Gorontalo,2019,171307,0,0,1203,142.45,0
Gorontalo,2020,67587,0,0,1172,57.68,0
Gorontalo,2021,78008,0,0,1181,66.05,0
Gorontalo,2022,102898,0,0,1193,86.27,0
Jambi,2016,61015,0,0,3459,17.64,0
Jambi,2017,76835,0,0,3515,21.86,0
Jambi,2018,101872,0,0,3570,28.53,0
Jambi,2019,54570,0,0,3625,15.06,0
Jambi,2020,26967,0,0,3548,7.60,0
Jambi,2021,50858,0,0,3585,14.19,0
Jambi,2022,39203,0,0,3631,10.80,0
Jawa Barat,2016,5470857,0,0,47379,115.47,0
Jawa Barat,2017,5142949,0,0,48038,107.06,0
Jawa Barat,2018,5573520,0,0,48684,114.48,0
Jawa Barat,2019,5881045,0,0,49317,119.25,0
Jawa Barat,2020,4793707,0,0,48274,99.30,0
Jawa Barat,2021,5217691,1,0,48782,106.96,1
Jawa Barat,2022,6534450,1,0,49406,132.26,1
Jawa Tengah,2016,1030796,0,0,34019,30.30,0
Jawa Tengah,2017,2372523,0,0,34258,69.25,0
Jawa Tengah,2018,2372703,0,0,34491,68.79,0
Jawa Tengah,2019,2723240,1,0,34718,78.44,1
Jawa Tengah,2020,1363635,1,0,36516,37.34,1
Jawa Tengah,2021,1465939,1,0,36743,39.90,1
Jawa Tengah,2022,2362039,1,0,37032,63.78,1
Jawa Timur,2016,1941035,0,0,39075,49.67,0
Jawa Timur,2017,1566657,0,0,39293,39.87,0
Jawa Timur,2018,1333380,0,0,39501,33.76,0
Jawa Timur,2019,866282,1,0,39699,21.82,1
Jawa Timur,2020,1575460,1,0,40666,38.74,1
Jawa Timur,2021,1849173,1,1,40879,45.24,2
Jawa Timur,2022,3134043,1,1,41150,76.16,2
Kalimantan Barat,2016,630713,0,0,4862,129.73,0
Kalimantan Barat,2017,568446,0,0,4933,115.25,0
Kalimantan Barat,2018,491939,0,0,5002,98.35,0
Kalimantan Barat,2019,532320,0,0,5069,105.01,0
Kalimantan Barat,2020,759264,0,0,5414,140.23,0
Kalimantan Barat,2021,463414,0,0,5471,84.71,0
Kalimantan Barat,2022,745467,0,0,5541,134.53,0
Kalimantan Selatan,2016,249448,0,0,4056,61.51,0
Kalimantan Selatan,2017,243814,0,0,4120,59.18,0
Kalimantan Selatan,2018,129147,0,0,4183,30.88,0
Kalimantan Selatan,2019,372948,0,0,4244,87.87,0
Kalimantan Selatan,2020,240793,0,0,4074,59.11,0
Kalimantan Selatan,2021,117243,0,0,4123,28.44,0
Kalimantan Selatan,2022,208064,0,0,4182,49.75,0
Kalimantan Tengah,2016,408165,0,0,2550,160.05,0
Kalimantan Tengah,2017,641028,0,0,2605,246.05,0
Kalimantan Tengah,2018,678525,0,0,2660,255.07,0
Kalimantan Tengah,2019,283546,0,0,2715,104.44,0
Kalimantan Tengah,2020,177639,0,0,2670,66.53,0
Kalimantan Tengah,2021,162488,0,0,2702,60.13,0
Kalimantan Tengah,2022,548318,0,0,2741,200.04,0
Kalimantan Timur,2016,1139608,1,0,3501,325.49,1
Kalimantan Timur,2017,1285215,1,0,3575,359.46,1
Kalimantan Timur,2018,587502,1,0,3649,161.01,1
Kalimantan Timur,2019,861001,1,0,3721,231.36,1
Kalimantan Timur,2020,378027,1,0,3766,100.38,1
Kalimantan Timur,2021,745190,1,0,3808,195.68,1
Kalimantan Timur,2022,1266222,1,0,3860,328.05,1
Kalimantan Utara,2016,160813,0,0,666,241.35,0
Kalimantan Utara,2017,149014,0,0,691,215.62,0
Kalimantan Utara,2018,67328,0,0,716,93.98,0
Kalimantan Utara,2019,81670,0,0,742,110.04,0
Kalimantan Utara,2020,68429,0,0,702,97.50,0
Kalimantan Utara,2021,133460,0,0,714,187.02,0
Kalimantan Utara,2022,430529,0,0,728,591.55,0
Kepulauan Bangka Belitung,2016,52737,1,0,1402,37.62,1
Kepulauan Bangka Belitung,2017,153106,1,0,1431,107.00,1
Kepulauan Bangka Belitung,2018,46278,1,0,1460,31.70,1
Kepulauan Bangka Belitung,2019,88729,1,0,1489,59.60,1
Kepulauan Bangka Belitung,2020,48431,1,0,1456,33.27,1
Kepulauan Bangka Belitung,2021,44725,1,0,1473,30.36,1
Kepulauan Bangka Belitung,2022,129697,1,0,1495,86.78,1
Kepulauan Riau,2016,519078,0,0,2028,255.93,0
Kepulauan Riau,2017,1031539,1,0,2083,495.29,1
Kepulauan Riau,2018,831248,1,0,2137,389.07,1
Kepulauan Riau,2019,1363365,1,0,2190,622.63,1
Kepulauan Riau,2020,1649365,1,0,2065,798.88,1
Kepulauan Riau,2021,1043686,1,1,2118,492.72,2
Kepulauan Riau,2022,934041,1,1,2180,428.50,2
Lampung,2016,85707,0,0,8205,10.45,0
Lampung,2017,120602,0,0,8290,14.55,0
Lampung,2018,132290,0,0,8371,15.80,0
Lampung,2019,155188,0,0,8448,18.37,0
Lampung,2020,498411,0,0,9008,55.33,0
Lampung,2021,173797,0,0,9082,19.14,0
Lampung,2022,247826,0,0,9177,27.01,0
Maluku,2016,102637,0,0,1716,59.83,0
Maluku,2017,211953,0,0,1745,121.48,0
Maluku,2018,7962,0,0,1774,4.49,0
Maluku,2019,33044,0,0,1803,18.33,0
Maluku,2020,176699,0,0,1849,95.57,0
Maluku,2021,13319,0,0,1863,7.15,0
Maluku,2022,73444,0,0,1882,39.03,0
Maluku Utara,2016,438902,1,0,1186,370.10,1
Maluku Utara,2017,228111,1,0,1209,188.63,1
Maluku Utara,2018,362793,1,0,1233,294.33,1
Maluku Utara,2019,1008523,1,0,1256,803.09,1
Maluku Utara,2020,2409007,1,0,1283,1877.78,1
Maluku Utara,2021,2819935,1,0,1299,2170.52,1
Maluku Utara,2022,4487465,1,0,1319,3401.40,1
Nusa Tenggara Barat,2016,439016,1,0,4896,89.66,1
Nusa Tenggara Barat,2017,132054,1,0,4956,26.65,1
Nusa Tenggara Barat,2018,251548,1,0,5014,50.17,1
Nusa Tenggara Barat,2019,270725,1,0,5070,53.39,1
Nusa Tenggara Barat,2020,302076,1,0,5320,56.78,1
Nusa Tenggara Barat,2021,244173,1,0,5390,45.30,1
Nusa Tenggara Barat,2022,704560,1,0,5474,128.72,1
Nusa Tenggara Timur,2016,58244,0,0,5204,11.19,0
Nusa Tenggara Timur,2017,138994,0,0,5287,26.29,0
Nusa Tenggara Timur,2018,100369,0,0,5372,18.69,0
Nusa Tenggara Timur,2019,126831,0,0,5456,23.25,0
Nusa Tenggara Timur,2020,81256,0,0,5326,15.26,0
Nusa Tenggara Timur,2021,79041,0,0,5388,14.67,0
Nusa Tenggara Timur,2022,73319,0,0,5466,13.41,0
Papua,2016,1168434,0,0,3207,364.29,0
Papua,2017,1924108,0,0,3265,589.28,0
Papua,2018,1132269,0,0,3323,340.79,0
Papua,2019,940961,0,0,3379,278.45,0
Papua,2020,567671,0,0,4304,131.90,0
Papua,2021,1489074,0,0,4355,341.89,0
Papua,2022,1260531,0,0,4419,285.28,0
Papua Barat,2016,514490,1,0,893,575.88,1
Papua Barat,2017,84673,1,0,915,92.50,1
Papua Barat,2018,286861,1,0,938,305.99,1
Papua Barat,2019,46204,1,0,960,48.15,1
Papua Barat,2020,10585,1,0,1134,9.33,1
Papua Barat,2021,32502,1,0,1157,28.10,1
Papua Barat,2022,71831,1,0,1183,60.70,1
Riau,2016,869105,0,0,6501,133.69,0
Riau,2017,1061147,0,0,6658,159.38,0
Riau,2018,1032883,0,0,6815,151.56,0
Riau,2019,1034039,0,0,6972,148.32,0
Riau,2020,1077984,0,0,6394,168.59,0
Riau,2021,1921413,0,0,6494,295.89,0
Riau,2022,2748701,0,0,6614,415.56,0
Sulawesi Barat,2016,20633,0,0,1307,15.79,0
Sulawesi Barat,2017,11389,0,0,1331,8.56,0
Sulawesi Barat,2018,24698,0,0,1356,18.22,0
Sulawesi Barat,2019,10135,0,0,1380,7.34,0
Sulawesi Barat,2020,6526,0,0,1419,4.60,0
Sulawesi Barat,2021,5921,0,0,1437,4.12,0
Sulawesi Barat,2022,28286,0,0,1459,19.39,0
Sulawesi Selatan,2016,372467,0,0,8606,43.28,0
Sulawesi Selatan,2017,712788,0,0,8690,82.02,0
Sulawesi Selatan,2018,617188,0,0,8772,70.36,0
Sulawesi Selatan,2019,302614,0,0,8851,34.19,0
Sulawesi Selatan,2020,236055,0,0,9074,26.02,0
Sulawesi Selatan,2021,309955,0,0,9140,33.91,0
Sulawesi Selatan,2022,469003,0,0,9226,50.84,0
Sulawesi Tengah,2016,1600338,1,0,2922,547.74,1
Sulawesi Tengah,2017,1545556,1,0,2966,521.04,1
Sulawesi Tengah,2018,672421,1,0,3010,223.37,1
